Variable Name,Variable Label,Value,"Value Label
(Note: ""-1"" indicates that the question was not shown to that respondent)",
whyphev6,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Free or privileged parking space",0,Not Selected,
,,1,Selected,
whyphev7,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Better finance/interest rate",0,Not Selected,
,,1,Selected,
whyphev8,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Manufacturer or dealer cash back",0,Not Selected,
,,1,Selected,
whyphev9,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Insurance discount",0,Not Selected,
,,1,Selected,
whyphev10,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Politics of fossil fuels",0,Not Selected,
,,1,Selected,
whyphev11,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Convenience of charging at home or work",0,Not Selected,
,,1,Selected,
whyphev12,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Free charging at work or away from home",0,Not Selected,
,,1,Selected,
whyphev13,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Special/low EV electricity rate at home",0,Not Selected,
,,1,Selected,
whyphev14,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Vehicle performance",0,Not Selected,
,,1,Selected,
whyphev15,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Vehicle styling, finish and comfort",0,Not Selected,
,,1,Selected,
whyphev16,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
A desire for the newest technology",0,Not Selected,
,,1,Selected,
whyphev17,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Brand name",0,Not Selected,
,,1,Selected,
whyphev18,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Other",0,Not Selected,
,,1,Selected,
whyphev_x,"Which of the following factors were the most important reasons why you decided to purchase a plug-in hybrid vehicle? 
Other, specified",,N/A,
whybev1,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Saving money on fuel costs",0,Not Selected,
,,1,Selected,
whybev2,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Saving money overall",0,Not Selected,
,,1,Selected,
whybev3,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Good lease terms & options",0,Not Selected,
,,1,Selected,
whybev4,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Reducing environmental impacts",0,Not Selected,
,,1,Selected,
whybev5,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Carpool or High Occupancy Vehicle (HOV) lane access",0,Not Selected,
,,1,Selected,
whybev6,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Free or privileged parking space",0,Not Selected,
,,1,Selected,
whybev7,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Better finance/interest rate",0,Not Selected,
,,1,Selected,
whybev8,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Manufacturer or dealer cash back",0,Not Selected,
,,1,Selected,
whybev9,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Insurance discount",0,Not Selected,
,,1,Selected,
whybev10,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Politics of fossil fuels",0,Not Selected,
,,1,Selected,
whybev11,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Convenience of charging at home or work",0,Not Selected,
,,1,Selected,
whybev12,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Free charging at work or away from home",0,Not Selected,
,,1,Selected,
whybev13,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Special/low EV electricity rate at home",0,Not Selected,
,,1,Selected,
whybev14,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Vehicle performance",0,Not Selected,
,,1,Selected,
whybev15,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Vehicle styling, finish and comfort",0,Not Selected,
,,1,Selected,
whybev16,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
A desire for the newest technology",0,Not Selected,
,,1,Selected,
whybev17,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Brand name",0,Not Selected,
,,1,Selected,
whybev18,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Other",0,Not Selected,
,,1,Selected,
whybev_x,"Which of the following factors were the most important reasons why you decided to purchase a full electric vehicle? 
Other, specified",,N/A,
altconcerns1,"How important was the California state vehicle rebate (up to $2,500) in making it possible for you to buy or lease your electric vehicle?",1,Extremely important,
,,2,Very important,
,,3,Moderately important,
,,4,Slightly important,
,,5,Not at all important,
,,6,Not applicable,
altconcerns2,"How important were the federal tax incentives (up to $7,500) in making it possible for you to buy or lease your electric vehicle?",1,Extremely important,
,,2,Very important,
,,3,Moderately important,
,,4,Slightly important,
,,5,Not at all important,
,,6,Not applicable,
altconcerns3,"How important were manufacturer or dealer incentives (e.g. low interest rate, cash back) in making it possible for you to buy or lease your electric vehicle?",1,Extremely important,
,,2,Very important,
,,3,Moderately important,
,,4,Slightly important,
,,5,Not at all important,
,,6,Not applicable,
altconcerns4,How important were attractive lease terms in making it possible for you to buy or lease your electric vehicle?,1,Extremely important,
,,2,Very important,
,,3,Moderately important,
,,4,Slightly important,
,,5,Not at all important,
,,6,Not applicable,
altconcerns5,"How important were parking incentives (employer, business, or government) in making it possible for you to buy or lease your electric vehicle?",1,Extremely important,
,,2,Very important,
,,3,Moderately important,
,,4,Slightly important,
,,5,Not at all important,
,,6,Not applicable,
altconcerns6,How important were special electricity rates for charging in making it possible for you to buy or lease your electric vehicle?,1,Extremely important,
,,2,Very important,
,,3,Moderately important,
,,4,Slightly important,
,,5,Not at all important,
,,6,Not applicable,
altconcerns7,How important was having free charging locations available in making it possible for you to buy or lease your electric vehicle?,1,Extremely important,
,,2,Very important,
,,3,Moderately important,
,,4,Slightly important,
,,5,Not at all important,
,,6,Not applicable,
altconcerns8,How important was the availability of carshare/car rental as part of purchase in making it possible for you to buy or lease your electric vehicle?,1,Extremely important,
,,2,Very important,
,,3,Moderately important,
,,4,Slightly important,
,,5,Not at all important,
,,6,Not applicable,
altconcerns9,How important was HOV lane access in making it possible for you to buy or lease your electric vehicle?,1,Extremely important,
,,2,Very important,
,,3,Moderately important,
,,4,Slightly important,
,,5,Not at all important,
,,6,Not applicable,
homeinstall,Did you purchase home refueling equipment and/or upgrade your current house to be able to charge your vehicle?,1,Yes,
,,2,No,
installcost1,Cost to you for home charging capabilities (either by purchasing home equipment or by upgrading your home),$,,
installcost2,Subsidy or other assistance used for home charging capabilities (either by purchasing home equipment or by upgrading your home),$,,
pev_charger_type1,"In the past month, which of the following technologies have you used to charge your vehicle’s battery? 
Level 1: A standard (120V) household outlet",0,Not Selected,
,,1,Selected,
pev_charger_type2,"In the past month, which of the following technologies have you used to charge your vehicle’s battery? 
Level 2: A 240V for faster charging outlet used",0,Not Selected,
,,1,Selected,
pev_charger_type3,"In the past month, which of the following technologies have you used to charge your vehicle’s battery? 
Fast Charger: A high voltage charger found at public charging stations",0,Not Selected,
,,1,Selected,
pev_charger_type4,"In the past month, which of the following technologies have you used to charge your vehicle’s battery? 
Other",0,Not Selected,
,,1,Selected,
pev_charger_type5,"In the past month, which of the following technologies have you used to charge your vehicle’s battery? 
Not sure",0,Not Selected,
,,1,Selected,
pev_charger_type6,"In the past month, which of the following technologies have you used to charge your vehicle’s battery? 
None of these",0,Not Selected,
,,1,Selected,
pev_charger_typex,"In the past month, which of the following technologies have you used to charge your vehicle’s battery? 
Other, specified",,N/A,
chargefreq,How often do you typically plug in your vehicle to charge?,1,Daily,
,,2,5 or 6 times a week,
,,3,3 or 4 times a week,
,,4,1 or 2 times a week,
,,5,Less than once a week,
,,6,Never,
pev07_chargemorning1,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
6:00am - 7:00am",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev07_chargemorning2,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
7:00am - 8:00am",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev07_chargemorning3,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
8:00am - 9:00am",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev07_chargemorning4,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
9:00am - 10:00am",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev07_chargemorning5,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
10:00am - 11:00am",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev07_chargemorning6,"On a typical weekday morning, when and where do you typically charge your vehicle?: 
11:00am - 12:00pm",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev08_chargeafternoon1,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
12:00pm - 1:00pm",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev08_chargeafternoon2,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
1:00pm - 2:00pm",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev08_chargeafternoon3,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
2:00pm - 3:00pm",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev08_chargeafternoon4,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
3:00pm - 4:00pm",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev08_chargeafternoon5,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
4:00pm - 5:00pm",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev08_chargeafternoon6,"On a typical weekday afternoon, when and where do you typically charge your vehicle?: 
5:00pm - 6:00pm",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev09_chargeevening1,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
6:00pm - 7:00pm",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev09_chargeevening2,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
7:00pm - 8:00pm",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev09_chargeevening3,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
8:00pm - 9:00pm",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev09_chargeevening4,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
9:00pm - 10:00pm",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev09_chargeevening5,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
10:00pm - 11:00pm",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev09_chargeevening6,"On a typical weekday evening, when and where do you typically charge your vehicle?: 
11:00pm - 12:00am",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev10_chargenight1,"On a typical weekday night, when and where do you typically charge your vehicle?: 
12:00am - 1:00am",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev10_chargenight2,"On a typical weekday night, when and where do you typically charge your vehicle?: 
1:00am - 2:00am",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev10_chargenight3,"On a typical weekday night, when and where do you typically charge your vehicle?: 
2:00am - 3:00am",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev10_chargenight4,"On a typical weekday night, when and where do you typically charge your vehicle?: 
3:00am - 4:00am",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev10_chargenight5,"On a typical weekday night, when and where do you typically charge your vehicle?: 
4:00am - 5:00am",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev10_chargenight6,"On a typical weekday night, when and where do you typically charge your vehicle?: 
5:00am - 6:00am",1,Home,
,,2,Work,
,,3,Public charging station,
,,4,Other spot,
,,5,Do not charge,
pev11_variablerates,Does your electricity provider charge different rates for peak and non-peak usage?,1,Yes,
,,2,No,
,,3,I don't know,
pev13_meter,Do you have a separate electricity meter to track your vehicle’s electricity usage?,1,Yes,
,,2,No,
pev14_specialrate,Do you receive a special electric vehicle electricity rate from your provider?,1,"Yes, and it applies to all my electricity use",
,,2,"Yes, but it applies only to what is used on a separate EV meter",
,,3,No,
pev15_kwhrate1,"On average, how much do you pay per kilowatt-hour to charge your vehicle at home?",$,,
pev15_kwhrate2,"On average, how much do you pay per kilowatt-hour to charge your vehicle at work?",$,,
pev15_kwhrate3,"On average, how much do you pay per kilowatt-hour to charge your vehicle at a fast charger?",$,,
pev15_kwhrate4,"On average, how much do you pay per re-charge at a fast charger?",$,,
pev16_actualrange,"When this vehicle is fully charged, how much electric range does it typically have? (in miles)",Miles,,
recommend,How likely are you to recommend a {PHEV/Full Electric Vehicle} to a friend or family member?,1,Extremely likely,
,,2,Likely,
,,3,Neutral,
,,4,Unlikely,
,,5,Extremely Unlikely,
replacecatch,"At the beginning of the survey you indicated that you plan to purchase a vehicle. 
Will this purchase be a replacement for a current vehicle or an additional vehicle for the household?",1,This vehicle will be a replacement for my [first current vehicle],
,,2,This vehicle will be a replacement for my second current vehicle],
,,3,This vehicle will be a replacement for my third current vehicle],
,,4,This vehicle will be a replacement for my [fourth current vehicle],
,,5,This vehicle will be a replacement for my [fifth current vehicle],
,,6,This vehicle will be a replacement for my [sixth current vehicle],
,,7,This vehicle will be a replacement for my [seventh current vehicle],
,,8,This vehicle will be a replacement for my [eighth current vehicle],
,,9,This vehicle will be a replacement for my [ninth current vehicle],
,,10,This vehicle will be a replacement for my [10th current vehicle],
,,11,This vehicle will be a replacement for my [11th current vehicle],
,,12,This vehicle will be a replacement for my [12th current vehicle],
,,13,This vehicle will be a replacement for my [13th current vehicle],
,,14,This vehicle will be a replacement for my [14th current vehicle],
,,15,This vehicle will be a replacement for my [15th current vehicle],
,,16,This vehicle will be a replacement for my [16th current vehicle],
,,17,This vehicle will be a replacement for my [17th current vehicle],
,,18,This vehicle will be a replacement for my [18th current vehicle],
,,19,This vehicle will be a replacement for my [19th current vehicle],
,,20,This vehicle will be a replacement for my [20th current vehicle],
,,21,This vehicle will be an additional vehicle for my household,
rc2_replace_type,What type of vehicle do you expect to purchase or lease as a replacement?,1,Subcompact Car,
,,2,Compact Car,
,,3,Midsize Car,
,,4,Large Car,
,,5,Sports Car,
,,6,"Cross-over, small",
,,7,"Cross-over, midsize",
,,8,"SUV, small/midsize",
,,9,"SUV, full",
,,10,"Pick-up truck, small",
,,11,"Pick-up truck, full-size/large",
,,12,"Van, small",
,,13,"Van, full-size/large",
rc2_replace_newused,Do you expect the replacement vehicle to be new or used?,1,New,
,,2,"Used, 1 to 3 years old",
,,3,"Used, 3 to 5 years old",
,,4,"Used, 5 to 10 years old",
,,5,"Used, 10+ years old",
rc2_replace_powertrain,What type of engine/fuel type do you expect the replacement vehicle to have?,1,Gasoline,
,,2,Hybrid (Gasoline),
,,3,Plug,
,,4,Gasoline,
,,5,Diesel,
,,7,Compressed Natural Gas (CNG) vehicle,
,,9,Full Electric vehicle,
,,10,Hydrogen vehicle,
replacesoon,Which vehicle do you expect to replace first?,1,[first vehicle listed],
,,2,[second vehicle listed],
,,3,[third vehicle listed],
,,4,[fourth vehicle listed],
,,5,[fifth vehicle listed],
replace_make,What make do you expect this vehicle to be?,1,Acura,
,,2,Aston Martin,
,,3,Audi,
,,4,Bentley,
,,5,BMW,
,,6,Buick,
,,7,Cadillac,
,,8,Chevrolet,
,,9,Chrysler,
,,10,Dodge,
,,11,Ferrari,
,,12,Fiat,
,,13,Ford,
,,14,GMC,
,,15,Honda,
,,16,HUMMER,
,,17,Hyundai,
,,18,Infiniti,
,,19,Isuzu,
,,20,Jaguar,
,,21,Jeep,
,,22,Kia,
,,23,Lamborghini,
,,24,Land Rover,
,,25,Lexus,
,,26,Lincoln,
,,27,Lotus,
,,28,Maserati,
,,29,Maybach,
,,30,Mazda,
,,31,Mercedes,
,,32,Mercury,
,,33,MINI,
,,34,Mitsubishi,
,,35,Nissan,
,,36,Oldsmobile,
,,37,Panoz,
,,38,Pontiac,
,,39,Porsche,
,,41,Rolls,
,,42,Saab,
,,43,Saturn,
,,44,Scion,
,,45,Smart,
,,46,Subaru,
,,47,Suzuki,
,,48,Toyota,
,,49,Tesla,
,,50,Vollkswagen,
,,51,Volvo,
,,52,Other,
,,53,Don't know,
replace_price,About how much do you plan on spending for this vehicle?,$,,
home_fuel,Do you expect to purchase home refueling equipment and/or upgrade your current house to be able to refuel this vehicle?,1,Yes,
,,2,No,
replace_mpg,About how many miles per gallon (MPG or MPGe) do you expect this vehicle to get? (city/highway combined average),MPG or MPGe,,
replace_annual,About how many miles per year do you expect this vehicle to be driven?,Miles,,
replace_primary_dr,Who do you expect will be the primary driver of this vehicle?,1,I will be the primary driver,
,,2,[second household member listed] will be the primary driver,
,,3,[third household member listed] will be the primary driver,
,,4,[fourth household member listed] will be the primary driver,
,,5,[fifth household member listed] will be the primary driver,
futureaddition,"Do you anticipate purchasing or leasing an ADDITIONAL car, SUV, van, or pick-up truck for your household? (not including vehicles supplied by employers)",1,"Yes, within the next year",
,,2,"Yes, in 1 to 2 years",
,,3,"Yes, in 3 to 5 years",
,,4,"Yes, in 6 to 9 years",
,,5,"Yes, in 10 or more years",
,,6,"No, I never plan to add another vehicle to my household",
futureadditioncatch,"When do you anticipate purchasing or leasing the ADDITIONAL car, SUV, van, or pick-up truck for your household?",1,In less than 1 year,
,,2,In 1 to 3 years,
,,3,In 3 to 5 years,
,,4,In 5 to 10 years,
,,5,In more than 10 years,
additionalveh,"In total, how many vehicles do you plan to add to your household over the next 10 years?",1,1 vehicle,
,,2,2 vehicles,
,,3,3 vehicles,
,,4,4 vehicles,
,,5,5 or more vehicles,
additional_type,What type of vehicle do you expect to add to your household?,1,Subcompact Car,
,,2,Compact Car,
,,3,Midsize Car,
,,4,Large Car,
,,5,Sports Car,
,,6,"Cross-over, small",
,,7,"Cross-over, midsize",
,,8,"SUV, small/midsize",
,,9,"SUV, full-size/large",
,,10,"Pick-up truck, small",
,,11,"Pick-up truck, full-size/large",
,,12,"Van, small",
,,13,"Van, full-size/large",
additional_newused,Do you expect this vehicle to be new or used?,1,New,
,,2,"Used, 1 to 3 years old",
,,3,"Used, 3 to 5 years old",
,,4,"Used, 5 to 10 years old",
,,5,"Used, more than 10 years old",
additional_powertrain,What type of engine/fuel type do you expect this vehicle to have?,1,Gasoline,
,,2,Hybrid (Gasoline),
,,3,Plug,
,,4,Gasoline,
,,5,Diesel,
,,7,Compressed Natural Gas (CNG) vehicle,
,,9,Full Electric vehicle,
,,10,Hydrogen vehicle,
additional_make ,What make do you expect this vehicle to be?,1,Acura,
,,2,Aston Martin,
,,3,Audi,
,,4,Bentley,
,,5,BMW,
,,6,Buick,
,,7,Cadillac,
,,8,Chevrolet,
,,9,Chrysler,
,,10,Dodge,
,,11,Ferrari,
,,12,Fiat,
,,13,Ford,
,,14,GMC,
,,15,Honda,
,,16,HUMMER,
,,17,Hyundai,
,,18,Infiniti,
,,19,Isuzu,
,,20,Jaguar,
,,21,Jeep,
,,22,Kia,
,,23,Lamborghini,
,,24,Land Rover,
,,25,Lexus,
,,26,Lincoln,
,,27,Lotus,
,,28,Maserati,
,,29,Maybach,
,,30,Mazda,
,,31,Mercedes,
,,32,Mercury,
,,33,MINI,
,,34,Mitsubishi,
,,35,Nissan,
,,36,Oldsmobile,
,,37,Panoz,
,,38,Pontiac,
,,39,Porsche,
,,41,Rolls,
,,42,Saab,
,,43,Saturn,
,,44,Scion,
,,45,Smart,
,,46,Subaru,
,,47,Suzuki,
,,48,Toyota,
,,49,Tesla,
,,50,Vollkswagen,
,,51,Volvo,
,,52,Other,
,,53,Don't know,
additional_price,About how much do you plan on spending for this vehicle?,,Dollars,
additionalhome_fuel,Do you expect to purchase home refueling equipment and/or upgrade your current house to be able to refuel this vehicle?,1,Yes,
,,2,No,
additional_mpg,About how many miles per gallon (MPG or MPGe) do you expect this vehicle to get? (city/highway combined average)?,Miles,,
additional_annual,About how many miles per year do you expect this vehicle to be driven?,Miles,,
additional_primary_dr,Who do you expect will be the primary driver of this vehicle?,1,I will be the primary driver,
,,2,[second household member listed] will be the primary driver,
,,3,[third household member listed] will be the primary driver,
,,4,[fourth household member listed] will be the primary driver,
,,5,[fifth household member listed] will be the primary driver,
autoagree1,"I would consider purchasing a vehicle that has automated driver assistance capabilities, such as smart/adaptive cruise control, self-parking, vehicle to vehicle communication, etc.",1,Strongly agree,
,,2,Moderately agree,
,,3,Neither agree nor disagree,
,,4,Moderately disagree,
,,5,Strongly disagree,
autoagree2,"I would consider purchasing a vehicle that is fully self-driving, (i.e. the vehicle drives itself)",1,Strongly agree,
,,2,Moderately agree,
,,3,Neither agree nor disagree,
,,4,Moderately disagree,
,,5,Strongly disagree,
autoagree3,Self-driving vehicles will become successful mainstream vehicles in the future,1,Strongly agree,
,,2,Moderately agree,
,,3,Neither agree nor disagree,
,,4,Moderately disagree,
,,5,Strongly disagree,
autoagree4,I am concerned about the safety of self-driving vehicles,1,Strongly agree,
,,2,Moderately agree,
,,3,Neither agree nor disagree,
,,4,Moderately disagree,
,,5,Strongly disagree,
consideralt1,"Have you purchased or considered purchasing any of the following vehicle types for your household? 
Hybrid",0,Not Selected,
,,1,Selected,
consideralt2,"Have you purchased or considered purchasing any of the following vehicle types for your household? 
Plug-In Hybrid",0,Not Selected,
,,1,Selected,
consideralt3,"Have you purchased or considered purchasing any of the following vehicle types for your household? 
Diesel",0,Not Selected,
,,1,Selected,
consideralt4,"Have you purchased or considered purchasing any of the following vehicle types for your household? 
Natural Gas (CNG or LNG)",0,Not Selected,
,,1,Selected,
consideralt5,"Have you purchased or considered purchasing any of the following vehicle types for your household? 
Propane (LPG)",0,Not Selected,
,,1,Selected,
consideralt6,"Have you purchased or considered purchasing any of the following vehicle types for your household? 
Fuel Cell (Hydrogen)",0,Not Selected,
,,1,Selected,
consideralt7,"Have you purchased or considered purchasing any of the following vehicle types for your household? 
Full Battery Electric",0,Not Selected,
,,1,Selected,
consideralt8,"Have you purchased or considered purchasing any of the following vehicle types for your household? 
None of the above",0,Not Selected,
,,1,Selected,
bevconcerns1,"What are your top five concerns about purchasing/leasing an electric only vehicle? 
Too expensive",0,Not Selected,
,,1,Selected,
bevconcerns2,"What are your top five concerns about purchasing/leasing an electric only vehicle? 
Limited driving range on the electric battery",0,Not Selected,
,,1,Selected,
